title|content
"Isan BCG Expo 2022", a sustainable innovation expo, continues wisdom Create opportunities to expand your business|"Isan BCG Expo 2022", the first sustainable innovation fair in The Northeast in Khon Kaen during 9-12 Dec 2022 Leveraging the strengths of "Creativity, Extension and Sustainability", continuing local wisdom with technology Creating opportunities to expand business across ASEAN on December 9, 2022 Dr. Pichet Durongkaveroj referee Mitr Phol Group and Mr. Gavin Wongkusonkit, Director Khon Kaen Innovation Center (KKIC) joins hands with 50 partner networks Public & Private Sector Organized Isan BCG Expo 2022, the largest sustainable innovation fair in the Isaan region and the first in Thailand. Under the concept of Collaboration : Co-existence and Prosperity to elevate "Isaan" as the center of Thai economic creation to the ASEAN region. The 3 strengths of "Innovate, Expand and Sustain" will continue to build on local culture and wisdom through innovation and technology during 9 - 12 December 2022 at Khon Kaen Innovation CenterSPONSORED. Minister of Finance, Mr. Teerasak Tejayuphan Mayor of Khon Kaen, Dr. Supawan Tiararat, Deputy Director of The Convention and Exhibition Bureau (Public Organization), Mr. Chanchai Sornsrivichai Deputy Governor of Khon Kaen Province, Mr. Ranadol Numnon Deputy Governor, Financial Institutions Stability Bank of Thailand and Mr. Clint Sarasin Senior President Thai Chamber of Commerce and Federation of Thai Chambers of Commerce Isan BCG Expo 2022 was held to demonstrate the ability and potential of Isaan to become an economic hub in the ASEAN region. Through the exhibition of biotechnology innovations from research and development from KKIC and its partner agencies, including the private sector. The innovations and technologies on display are ready to be passed on and open to entrepreneurs or investors in Thailand and CLMV countries who are interested in expanding and commercializing production, as well as business matching, which can meet BCG's needs. Fill pitayapaisit The Minister of Finance, who was honored at the event, gave a keynote address on the topic of "Opening Keynote Address", stating that today's event is not just an event, but a recreation of "Khon Kaen City", which is very important because the city that will grow must change to keep up with what is happening in the world. For Isan BCG Expo 2022, this event, whether it is a forum or an expo, is considered to be something that has caused change in Khon Kaen, where Khon Kaen is a city of education and the location of large factories. In terms of infrastructure, it is considered complete and complete. "Khon Kaen" is a city that connects with asean countries. What we said at the meeting of Mekong countries in Lao PDR is to promote trade and investment in the public and private sectors. Food safety by using technology is the strength of this group. The company had to expand its business into the Mekong Group in order to generate investment on both sides. However, the participation of khon kaen community will make a difference to the city and play a role in creativity. As the saying goes, "The city to prosper. To gather the meaning of BCG movement through 5 main activities: Isan BCG Forum 2022, exchange of experiences from more than 80 direct experts from various circles, as well as talk: about the essence of isan. In the 5.0 era, to see the potential of the Northeast. In the modern economy and society, Isan Serng & Sound: The art of conveying music from isan to the core with 4 genres and 4 stages, Isan Gastronomy Experience chefs table with the aesthetic flavor "Isaan vibe" Inspired by the ingredients of the land of birth, 9 national and international chefs create each dish. And the Walking Street Exhibition will find 3 main exhibition zones, Creative Zone, ideas to build on the identity of local wisdom/ Innovative Zone. Isaan Creative Food Innovation Exhibition includes an exhibition that provides knowledge on the restructuring of the manufacturing sector and services to the economy / Green Zone, innovative products, organic farms, designs inspired by the BCG Model, creating opportunities, waste management and waste separation activities, etc., and inviting participants to work together to reduce carbon emissions. By using cloth bags when shopping at the event, supporting community products, and using reusable containers. To promote carbon neutral events. To offset carbon emissions from sponsoredbcg (Bio, Circular, Green Economy) preparations, it is an important strategy for the future of Thailand and the Asian region. Strengthen communities and foundational economies with resource capital. Identity By leveraging the strength of biodiversity and cultural diversity to further enhance the value of the ecosystem of production of goods and services.
SEC and Digital Asset Governance Direction |From the collapse of LUNA and TerraUSD (UST), an algorithmic stablecoin or digital coin that has fixed its value using algorithms, the bankruptcy of hedge funds that invest in digital assets such as 3 Arrow Capital and digital asset depository and lending platform provider Celsius, which has affected business customers in Thailand, to the collapse of digital asset trading platform FTX, the world's largest provider, and the problem of lack of effective management and control. In recent years, regulators in countries such as Singapore, the UK and Japan have announced guidelines for regulating digital assets. It considers the potential of Distributed Ledger Technology (DLT), the technology behind digital coins, as well as the hedging approach. In the past, regulators enforced disclosure rules to crack down on illegal activities related to advertising digital assets that are deceptive or misleading in Singapore. SPONSOREDMonetary Authority of Singapore (MAS) has a policy of not supporting cryptocurrency speculation but does not block technological development (Yes to Digital Asset Innovation, No to Cryptocurrency Speculation) with the idea of developing a digital asset ecosystem and leveraging DLT technology. Anti-Money Laundering and Countering Terrorism Financing(2) Technology & Cyber Management Services(3) Hedging for Retail Investors(4) Maintaining stablecoin(5) Reducing potential financial stability risks MAS recently opened a public consultation on the business guidelines relating to digital assets, covering these five risk areas (published October 2022). UK Ministry of Finance Recognizing the risks that the digital asset industry does not have proper oversight, such as mis-selling, false advertising, fraud, etc., the idea is to improve the Financial Services and Markets Bill to empower the Financial Conduct Authority (FCA) to regulate activities related to digital assets, which will enable the FCA to effectively protect investors. The criteria proposed by the FCA cover issues such as(1) Limiting the digital asset business of foreign service providers(2) Bankruptcy Service Provider Case Management(3) Restrictions on cryptocurrency-related advertising are expected to continue in 2023 (according to an article in the Financial Times). In the past, the Financial Services Agency (FSA) enacted legislation for the regulation of stablecoins after the collapse of the UST, requiring stablecoin issuers to be authorized banks, trusts, or fund transfer service providers and to comply with the criteria set by the FSA, including the capital requirements of stablecoin providers. This is misleading and does not disclose information in accordance with consumer protection guidelines. This is partly related to the FTX case, in which investors have sued FTX for misaligned advertising and incomplete disclosure, where many digital asset providers have recently invested money in advertising by hiring celebrities and athletes to solicit investments. WITHOUT DISCLOSURE OF INFORMATION IN ACCORDANCE WITH SPONSORED GUIDELINES. The U.S. SEC recently imposed a law enforcement action against a reality TV star. In the case of illegally and inappropriately promoting a digital asset (which is considered to be a U.S. legal securities) through its Instagram, the person agrees to pay a fine of more than one million US dollars (according to an article in Bloomberg). The regulation of digital assets is governed by the Digital Asset Business Decree B.E. 2561 (2018). Digital Assets) Currently, the development of digital assets has progressed by leaps and bounds from 2018, when the law came into force, and its use patterns involve many industries, the Securities and Exchange Commission (SEC). Therefore, it is in the process of improving the regulation of digital assets. A working group consisting of relevant government agencies and the private sector has been set up. In addition, the SEC has been monitoring and monitoring new risks that may arise and to update the regulatory rules accordingly with the approval of the Board of Directors. The SEC has to enhance the protection of service users in many aspects, such as the preservation of the assets of service users. Advertising and promotion of business operators Prevention of conflicts of interest, cybersecurity, etc. THE ABOVE ACTIONS ARE IN LINE WITH THE SUPERVISION OF FOREIGN AND INTERNATIONAL REGULATORSSPONSORED ARTICLES BY FINANCIAL TECHNOLOGY PROMOTION DEPARTMENT. Securities and Exchange Commission (SEC)
Gold price today, 10 December 2022, opened the market on constitution morning, increased by 50 baht.|"Today's Gold Price" On Saturday morning, December 10, the price increased by 50 baht for the price of "gold bullion", selling out 29,550 baht per baht. The price of "gold jewelry" is sold at 30,050 baht per baht. On December 10, 2022, the Gold Trade Association reported that the 1st thai gold price today at 09.25 a.m., the price of gold rose by 50 baht, resulting in the "gold bullion" to buy 29,450 baht per baht. Sold out thb 29,550 "Gold jewelry" is purchased at 28,925.28 baht per baht. Sold out baht 30,050 Gold price today 2 shillings 50 satang Gold bullion 2 pieces Buy 14,725 baht Sell out 14,775 baht Gold jewelry 2 shillings Buy 14,462.64 baht Sell out 15,025 baht Gold Price Today 1 Shilling Gold Bullion Buy 7,362.5 Baht Sell Out 7,387.5 Baht Gold Jewelry 1 Slung Buy 7,231.32 Baht Sell Out 7,512.5 Baht Gold Price Today 1/2 Slung Gold Bar 1/2 Slung Buy 3,681.25 Baht Sell Out 3,693.75 Baht Gold Jewelry 1/2 Slung Buy 3,615.66 Baht Sell Out 3,756.25 Baht However, the price does not include gold and the price is subject to change. Please ask the gold shop staff again.SPONSORED
Cinema and popcorn go hand in hand, but this year 65, "Major" sold 2,500 million popcorn.|"There's nothing as serious as COVID." Vicha Poonworlak Chief Executive Officer, Major Cineplex Group Public Company Limited or MAJOR joked at a press conference in which he brought Wisarut Poonworlak, Director of Major Co., Ltd. Cineplex Group Public Company Limited The second generation of executives also came to talk to us if we go back to the COVID period. Cinemas, or as we like to call them, had to close because of lockdown measures. When it reopened, it wasn't as well received as it should have been. He said that cinema has been transformed in the past. From the transition from film to the digital age The disruption of online streaming until COVID, which in 2020 had to close cinemas. Major earns money by selling popcorn through food delivery platforms. Even in that year, the turnover was 527 million baht. It's the first time since entering the stock market, but we're starting to see opportunities in a crisis: "We didn't think popcorn would make so much money for a major. In '63, we sold popcorn through food delivery, earning only tens of thousands, but today we sell more than 1 million baht a day of popcorn. It is sold in convenience stores like 7-Eleven. Modern Trade department store after Major invested in Tao Kaenoi Food and Marketing Public Company Limited or TKN with a 10.12% stake and was the 3rd shareholder. Of course, we have seen "Popcorn Major" Go Inter as well"This year, we expect popcorn to generate about 2,500 million baht in revenue, and in 2023, it will generate more than 5,000 million in sales, divided into 40% in front of cinemas and 60% outside the cinema. We aim to achieve 50% of the domestic market share by screening an average of 2 Thai films per month or 20 films per year in order to push Thailand to become the King of Content Hub. The technology is available at Paragon Cineplex, Icon Cineconic, and will expand one new IMAX branch with IMAX with laser projection at Mega Cineplex, as well as the creation of a new ScreenX PLF in Premium Large Format at Paragon Cineplex. Cineplex will be able to provide viewers with a unique experience that combines the real world and the metaverse, both in theaters and at special events, where viewers will be able to meet and greet virtual 3D holograms, send live signals to the screen from anywhere in the world, and have full interactive functionality such as motion sensors. In 2023, we are preparing to expand as many as 13 cinemas to 49 theaters with an investment budget of approximately 600 million baht, which is a big investment in 3 years since COVID. 3 more branches, 40 lanes and 30 karaoke rooms will be available for moviegoers to see us at One Bangkok - CENTRAL WEST VILLE RATCHAPHRUEK - ROBINSON CHALONG - LOTUS NAKHON NAYOK, SA KAEO, NARATHIWAT, PATTANI - BIG C BANGBON, SARABURI, YALA - HYPER MARKET 2 BRANCHES - STANDALONE AT PHUKET SPONSORED NOW Major Cineplex has a total of 180 cinema branches at the end of 2022, including 839 blue o rhythm and bowling branches, 800 branches in Bangkok and vicinity, 346 branches in upcountry, 128 branches in 454 branches, 8 branches abroad, 39 theaters, 8,449 seats, 3 branches in Laos, 13 branches in Cambodia, 5 branches and 26 theaters. costume It is a soft power comparable to South Korea, which has become the role model of the global entertainment industry. This will eventually bring income back to Thailand. Build the economy "We believe that in 2023, Major will return 10 billion baht in revenue as before COVID, with the proportion of popcorn sales being about 5 billion and movie ticket sales of about 5 billion." SPONSORED Author : Kamolthip Hiranprasertsuk kamonthip.h@thairathonline.co.th Graphic : Jutaphun Sooksamphun
Products nationwide are priced down, pigs and chickens are coming to market.|Capt. Chakra Yodmanee Deputy Director-General, Department of Internal Trade It said it had tracked prices for the first week of the month. December 2022 compared to December 2022 The average price of red meat pork nationwide is 163-200 baht per kilogram, 65-95 baht per kilogram of chicken with hips, and 3 eggs at 3.1-4.1 baht per kilogram. Many retail and wholesale stores and fresh markets sell cheap products such as Makro, which sells pork and red meat. 163 baht per kg. 74 baht per kg. The 3 eggs are 3.8 baht per kg, while the fresh market in Bangkok and vicinity sells the cheapest red meat pork at ThanPetchnon Market. 175 baht per kg. 70 baht per kg and the number 3 chicken egg is cheapest at Pran Nok Market. The price decreased by an average of 1-9%, especially in department stores, where there are discount promotions such as oil, 1 liter bottle of palm oil, 47 baht for sale at Makro. Big C and CJ Express, Soybean Oil 62 Baht per bottle sold at Makro, Milk powder 550- 600 grams 202 Baht per box sold at CJ Express, etc. Chemical fertilizers also continued to decline in line with a decline in global energy prices, with urea fertilizers falling by another 20%.
TOA holds hands at tent stand 3D painting project to reduce car accidents and wildlife collisions|TOA Handshake Camping spots, 3D painting projects to help reduce car accidents and wildlife collisions Pilot at Khao Yai National Park Mr. Nantapol Boonlao Marketing Director TOA Paint (Thailand) Public Company Limited (TOA) said that due to the loss of wild animals in car accidents in Khao Yai National Park, TOA, as a private sector and an expert in color and color innovation, has collaborated with tent sites and Khao Yai National Park to create a tent project. Paint the streets with 3D paintings. We offer the highest quality color systems tested by technical experts. Using the highest quality primer, TOA ExtraWet, a highly damp-resistant primer with special resin properties, breathes and wicks moisture at all times, free from bulging problems. Even in extreme weather and humidity conditions, it is very suitable for the area around Khao Yai National Park. Together with TOA ROOF PAINT, concrete floor paint is made from 100% pure acrylic, and we expect the following 3D paintings to save wildlife from accidents and negligence. On the road, it is considered to help conserve nature to return to sustainable equilibrium. The founder of The Tent Point Group said that the project was started by participating in nature conservation activities in various parks, and over the years, there has always been depressing and disturbing news: the presence of a large number of wild animals, ranging from small and large animals, such as pheasants. Snakes, monkeys, deer, geng, leopard cats, bulls, tigers and elephants are sacrificed for life in a car crash in an area where a road cuts through the park or wildlife sanctuary. Therefore, the initiative was initiated by the tent project. Painting the streets by using realistic 3D painting to make cars traveling on the roads of the park area more careful. It hopes to reduce the loss of wildlife from car crashes and pilots the first trial study at Khao Yai National Park with artists who illustrate from little water. - Priyasri Promjinda designed this 3D painting for the main idea is to use the wildlife reserve in the park area to make 3D drawings on the road so that commuters can use the route at that point more carefully. Huai Hong Thong The head of Khao Yai National Park said the Khao Yai National Park has an area of nearly 2,168 square kilometers. Covering 4 provinces: Saraburi, Nakhon Ratchasima, Prachinburi and Nakhon Nayok, it is known as a large house of important living creatures. It is also one of the most abundant wildlife conservation areas in Thailand. Due to its habitat and food source, it is suitable for almost all tropical wildlife, such as Asian elephants, bison, white-handed gibbons, crowned gibbons, wild deer. Hornbill More than 280 species of birds, including insects and many reptiles, have been affected by the loss of wildlife from frequent accidents. By using 3D paintings, this illusion is likely to benefit wildlife.
Gold price today, 12 Dec 2022, opened Monday morning, fluctuated 2 times.|"Today's Gold Price" The market opens Monday morning, Dec. 12. Adjusted 2 times for the price of "gold bullion" sold out at 29,500 baht per baht. The price of "gold jewelry" is sold at 30,000 baht per baht. On December 12, 2022, the Gold Trade Association reported that the 1st thai gold price today at 09.24 a.m. did not move. At 10.15 a.m., a 50-baht discount resulted in "gold bullion" being purchased at 29,400 baht per baht. Sell out thb 29,500 "Gold jewelry" is purchased at 28,864.64 baht per baht. Sell out baht 30,000 Today's gold price is 2 pieces or 50 satang, 2 pieces of gold bullion buy 14,700 baht, sell out 14,750 baht, gold jewelry 2 shillings, buy 14,432.32 baht, sell out 15,000 baht. Gold price today 1 ounce gold bullion buy 7,350 baht Sell out 7,375 baht Gold jewelry 1 piece Buy 7,216.16 baht Sell out 7,500 baht Gold Price Today 1/2 Slueng Gold Bar 1/2 Slueng Buy 3,675 Baht Sell Out 3,687.5 Baht Gold Jewelry 1/2 Slung Buy 3,608.08 Baht Sell Out 3,750 Baht However, the price does not include gold, the price is subject to change. Please ask the gold shop staff again.
ZEN launches year-end promotion, confident to close 2022, revenue reaches 3,400 million as target|ZEN Group presses year-end marketing strategy Send all brands to release the finisher to stimulate sales, confident to close the year 65, revenue reaches 3,400 million Ms. Mayuree Painter, Deputy Chief Marketing Officer ZEN Corporation Group Public Company Limited (ZEN) said that the overall food business has been growing steadily since mid-2022, especially the revenue generated from dine-in has grown by more than 80% year-on-year. Molding marketing activities of all brands at the end of the year Focus on providing customers with engagement through the best meal experience while leveraging the strengths of each brand to increase business opportunities to cover all consumer needs. Ensure that every campaign of each brand pushed out will be able to generate sales and revenue growth as targeted. 3,400 million baht starting with ZEN Restaurant or ZEN Secondary restaurant that targets families, workers, and brand awareness to create more brand recognition. WITH ZEN CONCEPT, A SIMPLE NAME, BUT WITH THE LATEST PREMIUM QUALITY. Zen Restaurant also draws on its strengths in meticulousness in cooking that meets authentic Japanese principles. Blending traditional Japanese beliefs, create 4 new dishes at the end of the year. Senkaidang Mori Sushi, Kaizen Sushi Overload, Spider Bomb Maki and Salmon Avocado Tartare Under the name "Lucky MakiOn the Table", a Tokyo café-style restaurant. Promote marketing strategies from consumer insights In character marketing format Launch To create a social connection and brand recall, as well as create a brand image that creates happiness on the dining table according to the concept of Happiness is On the Table. The first call lab with the famous craft donut brand Drop by Dough with two new flavors of donuts, caramel biscuits and strawberry yogurt white shocks, based on the character of the table, JANG AKA or AKA, continues to focus on creating comprehensive brand recognition across all communication channels, revealing the value of price and quality ingredients of more than 90 dishes, consumer fanaticism and addiction to grilling methods, and a grilling identity that adds to the charm of special flavors. The company focuses on creating brand engagement to reach more and more consumers continuously and can also hold the top of mind position with customers as well. Vietnamese and Isaan food brands, the original Nakhon Phanom edition, highlight the outstanding quality ingredients That has adjusted the brand look to meet the needs of the new generation and working people In the concept of Tiger Meat, including the launch of a new series of menus And also a new facelift in the atmosphere suitable for socializing On the occasion of the New Year's Eve festival through the Khiang or Cutting Board brand and 1376 Delivery Whether at a New Year's party or a year-end meeting, you can order a menu in a butcher shop. Zen GROUP plans to launch corporate gift vouchers to cover spending from 3 brands. Zen Restaurant, On the Table and Aka Yakiniku for customers to choose their choice under the name Zen Group Voucher are ready to enter the B2B and B2C markets by focusing on selling through LINE OA Zen Group channel during the festive season. Return profit to general customers and corporate customers, available from December 15, 2022 onwards"Every campaign of every brand that has occurred will definitely attract customers to use the service. We also go home with good luck at the end of the year that our store intends to give to all our customers during the New Year's Eve festivities."
NSL Foods delivers "Rice Sticks" Meet the new generation Savory At an affordable price.|NSL Foods develops "rice bars" The rice version is easy to eat. Meet the new generation Savory Ready to make flagship store at Siam Square Aiming to expand according to the office and BTS station Mr. Somchai Asavapiyanon Managing Director NSL Foods Public Company Limited (NSL) said that after developing hot sandwiches that are sold in convenience stores, it has become popular with the new generation who have a hectic lifestyle and want to make the most of their time. No need to pour. No need to mix, but forming steamed rice into sticks with filling in the middle, can be eaten in one hand for convenience during times of hustle, with a total of 18 sweet and savory dishes suitable for children and adults at a price of 29 baht. e.g. chicken basil rice, pork fried rice, garlic chicken rice, grilled pork sticky rice, pork larb sticky rice. As for the dessert rice bars, we use Thai fusion style snacks such as sticky rice with durian coconut milk, glutinous rice with cane sugar, glutinous rice with taro ginkgo, sticky rice with corn cream soup, etc. Bright said.  They are unique, dedicated to living life to the fullest and have clear goals. It represents a new generation of people who have a hectic lifestyle but still want to eat quality food at each meal. We also built the first flagship store under the name Rice Bar by NSL at Siam Square One because it is the branch that reflects the personality of rice bars the most comprehensively. The design of the restaurant is open-air and the entire interior of the food storage area and kitchen zone. In order for consumers to be assured of the cleanliness of the store and the quality of the products that meet reliable standards, this first branch will be a model for other branches. In the future, this may be adjusted according to the suitability of the area, aiming to expand to BTS stations, office buildings, as well as vending machines in the community.
The Thai stock market reigns. DJSI shares are the highest in ASEAN 9 times, reflecting the sustainability of the business.|Thai stock market shows sustainability The stock was ranked in the DJSI for the most 9 consecutive years. Ensuring foreign funds Mr. Bhakar Pitawatchai, Director and Manager The Stock Exchange of Thailand It was revealed that Thai listed companies (PLC) continue to have outstanding sustainability developments at the international level in 2022. 26 companies have been selected as members of the Dow Jones Sustainability Indices (DJSI): ADVANC, AOT, BANPU, BDMS, BJC, BTS, CPALL, CPF, CPN, CRC, DELTA, EGCO, GPSC, HMPRO, IRPC, IVL, KBANK, MINT, PTT, PTTGC, SCB, SCC, SCGP, TOP, TRUE and TU. Received the highest selection in ASEAN for the 9th consecutive year. Thai Co., Ltd. is committed to the importance of balanced business operations for both business and society. Driving the Thai capital market towards sustainability (Sustainable Capital Market) is a mission that SET attaches importance to by encouraging investors to realize the importance of sustainable investment. SUSTAINABLE BUSINESS OPERATIONS, WHICH WILL REFLECT THE TRUE VALUE OF THE BUSINESS TO GROW IN A BALANCED MANNER. Thai companies have been invited to participate in international sustainability assessments from MSCI, FTSE and S&P Global. S&P Global found that 26 Thai companies were selected for the index, the highest number in ASEAN for the ninth consecutive year, while the FTSE4Good Index and MSCI ESG Universal Index had 40 and 42 companies in the index, respectively, which is also the highest number in ASEAN. It reflects the company's commitment and importance. In the past, SET has prepared the company to move into an international index to create attractive investments, including linking ESG information of global sustainability performance assessors. Sustainability Rating Agencies allow Thai investors to track information conveniently. The announcement of djsi group members will be effective from 19 December 2022 onwards.
