title|content
The young man drove the rich on the highway.Lift them up the police stationPunch the police, the nose is broken-the little finger is broken.|The young man lifted up the police station. 1 asked the reason to set the rubber cone on the expressway. After driving until the car is damaged The police clarified it was punching the nose. The little hand of the right hand (28 Nov 64) at 8:00 pm, Police Lieutenant Aran Chavanon, Deputy Deputy Chief of Staff, Express Traffic Control Center, Kor Kor. Yesterday (27 Nov 64) at approximately 23.00 hrs. While he performed his duties at the Expressway 1 police station, he had a name later. The police station by informing that at 8:00 pm, he drove a white Honda Jazz brand on the Port 2 Expressway heading to Bang Na. Before Chonchon Rich Tang Which is located on the traffic surface Until causing the car to be damaged He therefore tried to clarify the cause of the rubber cone and explain the law to the police. Revealed that after that, Mr. Sittichok has argued. Then became anger and resentment He therefore informed him to contact the traffic officer during office hours. But the man spoke loudly And bring the phone to take pictures So he raised his hand to close the camera and told him to calm down. Mr Sitthok used the fist to fight into his face until the nosebleeds flowed. While the group of male friends who came with the attitude to attack, Pol. After Mr Sitthok caused the incident, he drove out of the police station. He was sent to treatment at the police hospital. The doctor sewed the wounds around the nose and diagnosed that the right hand bone, right hand, broken. Revealed that After the incident, he learned that while he was treated Mr Sittichok, the parties, reported to condone themselves to assault with the investigating officers at the Port Police Station. By claiming that the side of the police tried to draw a gun And punching Mr. Sittok first He therefore reported to the Port Police Station. Initially, in the matter of reporting charges At this time, it is not possible to notify. Since the inquiry official is in the process of collecting evidence Including requesting images from CCTV on the expressway To be considered
Grandma led the grandchildren to report more.The monk uses a rocket.Claiming 4 herds of hernia|Grandmother, Primary 5, reported to the offense. While another grade 6 grandmother came out, revealed that the grandchildren were hit 2 times, including 4 children being done, expected to have more victims (29 Nov 64) officials from social development and human security. , The police suppressing human trafficking And related agencies Traveled to meet Phra Sombat, 40 years old, Abbot of Pradu Temple To investigate the facts After becoming news Forcing grade 3 students and grade 5, spinning the genitals until the orgasm And later a grade 1 student came out and revealed that 5 years ago was hit by the abbot Doing the same. Most recently, there was another grade 6 grandmother to report. After the grandchildren told The abbot has done the same 2 times. In total, there were 4 children being done to report 2 monks and expected to add more victims. Because of this kind of way for many years, Mr Thongthip Phu Si to specialist in specialized social developers The Office of Social Development and Human Security states that there must be a thorough investigation. That the story that the child told Is it true? There will be many agencies together. Which must be fair to all parties Especially the abbot Who still denied that they did not act Confessed only that To massage the genitals only. Later, Grandma, the 5th grade boy who came out to give information to the first teacher. Traveled to meet the inquiry official Confirmed to condone the abbot or His Majesty's abundance While the children of Primary 5 were found, the inquiry official was 58 years old. That was abbot Do the same 2 times but do not dare to tell Grandma. Until the same school students revealed Therefore dare to tell Grandma After this, it will be allowed to follow the legal procedures. To protect your own grandchildren
8 -year -old girl raped by a neighborThe wife was slander.The nephew is really sneaking.|8 -year -old girl raped by a neighbor The wife was slander from the relatives of the child. The nephew leaned in front of the room. Really saw (29 Nov 64), police officers, Pa Mok Police Station and the police proven evidence. Ang Thong Provincial Police, inspecting the house, Village No. 7, Rong Chang Subdistrict, Pa Mok District, Ang Thong Province After being informed by Mr. Anuchit, 30 years old, relatives of Girls B. (Assuming name) 8 years old that Nong B, who is a grandchildren, was always 66 years old, the neighbors raped. By the incident in the said house Before Nong Bee told Mr. Anuchit The officer always detained him to investigate at Pa Mok Police Station before being imprisoned at Ang Thong Prison immediately. Mrs. Lukchan, 32 years old, Nong's mother told me that she didn't know anything. But Nong Bing went to tell Mr. Anuchit, who was always raped by Mr. Anuchit 3, before Mr Anuchit informed the police and the village headman to arrest him at the police station. When he knew the matter, he felt stressed and would prosecute the end as Nong B told that You always let the grandchildren push into the bedroom inside the house and take off the pants. Before you always take off your pants and do it 3 times. At that time, I was hurt and scared but didn't dare to cry. Until after you always left the room, he ran out to tell Mr. Anuchit, who was abused before informing the police, while Mr Anuchit Revealed that he was sitting at home, eating with relatives Saw Nong Bewling crying out of your house, always opposite Therefore went to inquire Nong B then told the details to make him feel angry. Therefore, the police have always come to arrest you because he could not bear that you always did to the child like this. Do not believe that you are always the person who does it. But on the day of the incident, he was not there. Come to know about it again. Today, the police always arrest you. Normally, Nang Luk Chan will take her children to sit and drink at this house on a regular basis. Never had anything like this Personally, I think that it was bullied by the relatives of Nong B, who was not more cheap while the boy A Which is always your grandchildren And in the event Told him that he always called Nong B to enter the room and took off his pants before holding Nong B and straddled before doing it. Now he is in the room but he is in front of the room and looking through the image, so he saw all the neighbors, opposite the house where the incident said Normally, this house will regularly drink alcohol. As for children, they will run and play in this area. Which you always have this behavior but do not know if the incident occurred or not It must be a matter of the police in the initial operation. As for Nong Bee, the staff sent him to check the physical examination at the hospital to always find evidence in the prosecution with you.
Stepfather-real mother, attacking his 6-year-old son, broken ribs|The true stepfather-mother attacked the 6-year-old son, the neighbors found in the condition of the eyes, led to the doctor, found the ribs, broken liver, torn, jar (29 Nov 64), Pol. Sutthisan, together with the officers, charged with a 28 -year -old man and a 23 -year -old woman, jointly attacking a 6 -year -old child, seriously injured. In which the man is a stepfather The woman is a real mother. The incident occurred at a condominium. In Soi Inthamara 41, Ratchadaphisek Subdistrict, Din Daeng District, the incident occurred on 11 September. Along with reporting the children's physical assault. Police Lieutenant Colonel Suebpongkhun, Deputy Director of the Police Station (investigation), Sutthisan Police Station This happened from July to September. A 6 year old boy was attacked by a stepfather. The neighbors heard the voice of the child crying, so try to help. But the true stepfather and mother Refusing to meet the child later when the parents do not stay The child opened the door out in two eyes, with bruises, good citizens, therefore helping to take the children to the doctor to find 4 broken ribs. The liver torn bleeding in the abdomen. All Including the genitals being rubber bands until the wounds of good citizens have contacted the children's relatives to come to take care of them. At first, the child was shocked, but this period was better. Beginning with a smile back to see better development As for the stepfather and mother, the child never contacted the child again. And went to live in Phuket as usual. Initially, the inquiry official invited him to investigate before informing the charges The stepfather confessed that the cause of the incident Because the child is stubborn Speaking of disobedience, so taught the real mother to give the investigation officers to do a thorough interrogation again. Because they just have a 9 -month -old daughter together.
Certainly drunk, Closed Circuit, capturing a ghost taxi, a 76 -year -old grandmother falling off the canal.|Closed circuit captures a minute, a taxi, a 76 -year -old ghost, falling into the canal, the little nephew came to catch the body of the grandmother, the reporter reported that yesterday (29 Nov) at 21.00 hrs. Bang Bua Thong police station. Nonthaburi province was notified of a taxi crashing into a motorcycle, falling 1 person and 1 injured at the Khlong To Khlong Tok Road, Bang Khurat Subdistrict, Bang Bua Thong District, Nonthaburi Province. Motorcycle brand Honda, Dream, Registration number 317, Bangkok Parked on the side of the road In the condition of damage, the whole car was about 20 meters away, found the body of Mrs. Pranom, aged 76, died on the side of the road and found a white Isuzu pickup truck, registration number 5309, Phra Nakhon Si Ayutthaya. Sand, the name of the driver, is Mr. Narasak, 32 years old. The car's car's condition is damaged. The condition of the car was crashed until the rear of the car deviated into the canal. Also found a taxi license plate Registration number 4363 Bangkok fell beside the car. Opposite the grille in front of the yellow green taxi falls in the neck of the bridge. In which the taxi Yellowish green Bounced into the canal After recovering the wreck of the taxi out of the water Found that the condition of the car was damaged Know the name of the driver, Mr. Maka sitting on the street I don't know much about the CCTV inspection, holding a picture while a taxi hit the motorcycle of the deceased. Before losing the wall of the house and pickup truck Until crossing into the canal. Mr Narasak, 32, the owner of a white Isuzu pickup truck, said that at about 17:30 hrs, while he drove behind A motorcycle with a man riding and having a grandmother At that time, there was a taxi driving in the opposite direction. And losing a taxi crashing into the said motorcycle Bounced into the canal, both the car and the car, the taxi had broken into a fence of the front door. After that, he hit the sign and turned to the edge of the bridge. Bounce off the way into the canal Which he wanted to go down to help Grandma and the man riding the car The motorcycle, which fell into the water, but he could not swim, so he shouted to the villagers to help take the grandchildren and grandchildren from the canal. Found that Grandma died at the scene of the nephew Officials have sent Kasemrad Hospital while he talked to the taxi driver. He thought that the driver would certainly be drunk while Ms. Jiraporn, 33, the grandmother of Grandmother Pranom, 76, who died, said that he gave Grandmother Pranom to raise his son at home. In the village of Pruksa 45, with Mr. Jatuporn, 38, who is the son of Grandma Pranom, a motorcycle driver to pick up in order to return to the house in the village of Pruksa 3 until the accident died. Mr. Jatuporn was injured, the officers were delivered. Kasemrad Rattanathibet Hospital Police officers detained a taxi driver. After that, the alcohol measures how much it is. Which will report additional allegations In which the incident has set the allegations that Careless driving causes others to death.
The headman unfolded himself.More than 20 students used to be victims of rocket abbot.|The village headman revealed There are more than 20 students who used to be victims of rocket abbot. Just came out to speak because at that time was embarrassed Won the relevant agencies to clarify quickly. Reporters reported that today (30 Nov) Mr. Namkiat Champaong, 57 years old, village headman, Village No. 6, Pradu Subdistrict, Huai Samran Subdistrict, Krasang District, Buriram Province, has specified the case. Parents, students, grade 5 and parents, grade 6 students, report to the investigation officers at Lamduan Police Station, Krasang District, Buriram Province, in order to condemn the treasure or 40 years old, Abbot of Pradu Temple, Huai Samran Subdistrict . By forced to spin your own genitals Until many orgasm 4 students have been revealed. 2 persons have been reported. Mr Namkiat stated that after the report Partly thought that it was because the abbot had hernia. And let the children come to massage the medicine Because according to the children's hearsay The abbot did not violate but it appears that after the news Have a teenager in the village aged 15-20 years, over 20 people have revealed that "Used to be done by the same way." At this point, he couldn't accept it. Because it was intentionally and intended to satisfy his own lust And still do not know that there will be students who are studying in this school How many people who have not dared to speak, which are expected to have "Moo 6 village headman said that now the responsible official Must rush out to find the truth quickly Who's wrong? Leave it to make religion more deteriorate. As far as inquiring of teenagers who have been abboted by the abbot I don't want to go to the temple. Because there is still a persistent picture of the reporter reporting that This morning atmosphere at Ban Pradu Temple Someone came in But came out Because the abbot of the temple is the Buddha's lock But the Buddha is not here Without anyone knowing where he disappeared
Sad, stressful brother, debt, kill the older sister, call to tell friends to collect the bodyBefore tied to death|The younger brother is stressed in many ways. Acting to kill my sister Then tied his neck to death Leaving a letter asking the monk to know and rescue to help organize the funeral reporter that today (30 Nov) at 09.30 hrs., Khlong Kio police station was notified of the deaths in the house without the number at the group. 1 Khlong Kio Subdistrict, Mueang District, Chon Buri Province The accident found the body of Angkhana, 64 years old. Broken head With roughness with blood stains Fell a little apart, found Mr. Prayut, 55, using a rope to tie the roof of the house Rescue then brought the body down. At the scene of the incident, the letter was found. The message was written that "Teacher Thun and morality Help make the body for 1 night in this house to Master Thun and Wat Suan Phuttha. Please ask my sister. "Initially The police officer Gave the rescue to bring the body to the autopsy In order to find the exact reason again, with Mr Prayut stressed in many ways And had no money to pay for suicide But afraid that my sister had a chronic illness Also very old Afraid that no one would take care Therefore using the roughness to hit the head and use the knife to pierce repeatedly Before killing the suicide from the inquiry, she accidentally aged 60 years. The neighbors said that she tried to call Mr. Prayut since yesterday evening. To inquire with the concern from the well known to the two dead But it appears that no one answered This morning he came to the house, looking through the door, meeting Mr Prayut. Semi -sitting, standing with a rope tight with the neck hanging Hurry to inform the police to inspect the 30 -year -old Mr. Radis, recovering the Dharma Son, Ban Bueng Association, who is a colleague, Mr. Prayut. At Ban Bueng Subdistrict Municipality, yesterday at 16.33 hrs. To help to collect the body The sister is dead. I thought that the deceased was joking. And come to know again in the morning
MiaHusband, brutal, broken ribs-cigarettesEven being hit by a close friend|Mia Husband, brutal, broken ribs-cigarettes Even being hit by a mistress who used to be his own close friend Published the story of Mia singing the media. After being attacked by her husband, slapped a cigarette with a cigarette with a voice because her husband had a mistress. Khun Sai Mia said that she and her husband had been eating for 6 years. Causing the husband and friends to be dating Which he could not accept and argued all the time When arguing, the husband asked the friend to move out to rent a room nearby. There are times when the husband quarrels with her to the point of Put a knife, teeth, head and back teeth And smashed until the ribs broke There are also cigarettes in the face. Until the latest can't bear Must be separated in August Around September The husband asked to reconcile with her and told me to stop messing with Mia. With the love of the husband forgive And returned to the rental room together, but the story didn't end when the wife followed Will come to ask the husband to return to say that the pregnant husband is responsible by renting the room in the same building She was on the 4th floor. Mia is on the 2nd floor. Most recently, yesterday, she was hit by a mistress. Put the room key on the face Now the face is swollen. Which would like to bring both the husband and Mia to the end Want to ask for fairness Because aside from being invaded with the mind Also being assaulted And would like her own story to be an example to many people. Most recently, Sai went to report the prosecution of her little wife who attacked her body.
Catching the merchant secretly filming students with sex in the market.Forcing the woman to do oral sex|Catching the merchants to shoot Black mail 2 students while there is something in the market bathroom. Relying on the man's rhythm to press money Forcing the woman to do oral sex in the car from the case in the middle of the night on November 30, 64. The police officers in Bang Yai police station in Nonthaburi have detained Mr. A (fictional name). Mobile phones in the market in Bang Yai area, Sao Thong Hin Subdistrict, Bang Yai District, Nonthaburi Province, after the secret of the 17 -year -old student and 16 years of the school. Will secretly bring a mobile phone to take a blackmail While both of them have activities in the bathroom as evidence in mobile phones to threaten money. Until later, when two young students walked out of the bathroom Mr A then walked in and opened the picture on the mobile phone that secretly filmed both. Along with calling for a blackmail money for both 5,000 baht in exchange for deleting the clip, Mr B (assumed name), a 17 -year -old student decided to walk to press the money from the ATM card. In order to bring the money to Mr. Et as a threat by releasing Miss C (assumed name), a 16 -year -old girlfriend with Mr Et alone, then Miss C then was called by Mr. A to take a sedan. Ananda, the white CRV of Mr. A, before being molested, forcing Ms. C. Oralsex until he was orgastered when Mr B. Returning to press the money at the ATM, know the truth from his girlfriend. So hurriedly called 191 before the police officers in Bang Yai Police Station arrived and brought Mr. A and Miss C, the injured person to investigate at Bang Yai Police Station, with the mother of Miss C and Mr. B's father Who heard the news to travel to the police station As for Mr. A, he refused to give any actions. With the police claiming to wait for the preliminary personal lawyer The police inspected Mr. A's mobile phone. But did not find the image or the Black mail clip as Mr B and Ms. C. It is expected that Mr. Ene will delete the clip and the images taken before being detained at the police station. The police then stuck the phone of Mr. A. In addition Also inspected the stains of sperm stains on the student's student shirt, which is an important evidence in the prosecution of Mr. A By detaining Mr. A in the cell and has not yet given bail Reporters reported that yesterday (30 Nov) at 16.00 hrs. Have examined the evidence of the Honda sedan to find sperm stains in the sedan Including the public bathroom of the market, which is the scene of the incident In order to gather evidence of the case in prosecution with Mr. A Even rejecting while Mr. Wit (Reserved the real name-surname), the female student, the victim, said that after knowing the parents, cannot do anything. I don't think I will see anything like this. To the chest The accused was denied. Now have to let it walk according to the law of the law. Which will bring the matter to the end. The culprit called his child to get in the car to use his hand to take off his chest, the daughter said that he couldn't do it. But he refused to intimidate the clip to spread on social media. And allowing his children to gather the genitals Until orgasm, after that, the culprit would not delete the clip But the daughter begged and then gradually Chase the clips one by one. And the culprit went to pick up the money at the younger man At first, the younger man couldn't find his daughter. But his daughter contacted him to meet in front of the bathroom And then told what happened, his feelings, now I can't say anything It was very angry, but couldn't do anything. Would like the culprit to accept the mistake and realize the action Because he refused and not accepted He has a lawyer to come to fight the case, which he is currently unable to think because he has never encountered this kind of event before. At this time, it has not been negotiated with the culprit. Since the story If he came out to clear, he didn't know what to do. But now the police would prosecute the law first.
Gather and put a fire on the engine oil warehouse.Actually, the department headClaiming resentment is scolded!|Arrest the fireplace, the engine oil warehouse, causing the loss of 40 million. In fact, the department level Claiming to be abused by the boss scolded from the case on November 29, the past A fire broke out the oil warehouse, Prapakorn Oil Company Limited, Om Yai Subdistrict, Sam Phran District, Nakhon Pathom Province. The engine oil is over 100 liters. The factory is almost completely damaged. The damage value is about 40 million baht. The houses are damaged by over 10 houses. It takes more than 4 hours to control the fire, with the injured, Miss Sirasini or Ann, 38 years old, is the staff of the warehouse department. Police officers interrogated Miss Sirasini And examined the evidence at the scene Until getting the image from the CCTV that was burned But able to recover the file, found that Miss Sirasini Was the fireplace of this time In which the accused confessed to be a fireplace, a real oil warehouse using a paper lighter and placed in a paper box containing 2 lubricants until the fire occurred by Miss Sirisini Accepting confession with surrender to evidence that The cause was caused by the resentment that the employer was scolded by the employer several times. In the past, at Pho Kaew police station announced the arrest of the accused, Pol. Maj. Gen. Thanayut Wutthathit Thamrong, Commander in Chief 7, came to investigate the accused by himself. And revealed that At this time, the accused confessed that he was a real culprit. In the process of further investigation whether to do alone or with others or not As for the reason, it was anger. Was in the process of further investigation on this issue Including other causes, which are all details in the case By confirming that officials have sufficient evidence and in the process of expanding the results. For the fire at this factory in April Found that it was not related to this accused And the cause is different But the details still cannot be revealed After the investigation, the accused was completed Will continue to be sent to the Nakhon Pathom Provincial Court Until now, no people have applied for bail in any way. Mr Phiphat Ungkornpakorn, the owner of Prapakorn Oil Company Limited, revealed that the issue of the accused testified as the incident because the employer was scolded by the employer. He confirmed that over 9 years, Miss Ann worked in this company. Looks like a cheerful person. Normally, never showing symptoms or dissatisfied attitude. In addition, he never cursed his subordinates, but there were some who had to blame when working wrong because Ms. Sirasini It was about the supervisor level, which was about 2 weeks ago. Miss Ann didn't have any attitude to create a story. Even never blamed Is a lover of subordinates At the end of the month, take to eat every month, after knowing the police that the culprit is Miss Sirasini Both sons and other employees Feeling disappointed The more colleagues do not believe that Miss Sirasini Will be the culprit As for the reason that it would be a true dismay or destroying evidence to conceal something He was unable to answer and didn't dare to guess. But in the eyes, I still think that Miss Ann is a good person. However, she asked the police to investigate further on the issue of fire hiring. But confirmed that he had no enemies or business competitors Including corruption problems within the company in any way. From the incident, it will be used as a lesson for him. In the matter of establishing a fuel storage far from the community location and in the prevention system Ready to take good care of their own people. Must apologize to those who were affected and the society that occurred twice. If he cares for more than this, he will see the problems of the employees. Or may prevent this from happening
