title|content
"Maj. Gen. Wirachai Mercy" shaved his head and measured pho. There is no set date for wear and tear.|Enter the parachute "Maj. Gen. Wirachai Songmetta", a former deputy. The retired priest, who replaced his parents, was nicknamed "Mercy Thero", meaning benevolent, revealing that the ordination was not scheduled at 1:00 p.m. on October 2, 2022. Former Deputy The Chief Of Staff, after 2 days of service, was simply inducted at the Temple of the Holy Sepulchre, or Wat Pho Tha Tien, nicknamed "Metta Thero" (The Benevolent One). Abbot of Wat Phra Chetuphon Wimon Mangkalaram THE DIRECTOR OF THE MAHATHIR ASSOCIATION IS THE VICEROY, AND THE ATMOSPHERE AT THE EVENT WAS ATTENDED BY FRIENDS AND CLOSE PEOPLE, AND MANY FAMILY MEMBERS CAME TO ATTEND THE CEREMONY. Luang Pi Wirachai said that this ordination is intended and intends to be ordained as a substitute for the merits of fathers, mothers, teachers, and all patrons of me. With acrobatics, vagrancy, and conscience, I have been negligent in any of you. In any case, please forgive me, and may all of you join me in paying tribute to my ordination."
Rescuers find important evidence, axe-knife of the middle. A brutal young man is used to kill and shred the corpse of a young saleswoman.|The rescuer found the axe-knife of the middle. A brutal young man uses to shred the corpse of a young salesman. The latter threw away some bottles of canals. It took 6 hours for Mr. Chanwit or Don Wongsakhak, 35 years old, to use a knife, axe and saw. Killing of Ms. Arnan or Harp Narathorn The 30-year-old separated 7 parts inside a daily rental room in Soi Sukhumvit 115, Samrong Nuea Subdistrict, Mueang District, Samut Prakan Province and buried under the Chalong Rush Expressway. Along Prasert Manukit Road, Lat Phrao district, the deceased's weapons and belongings were thrown into the canal. The incident occurred on (Oct. 1). At 3:30 p.m. on October 2, 2022, the Police Investigation Department, Samrong Nuea Police Department, coordinated the rescue of The Patek Tueng Foundation's diving suit. The Great Central Weapon Mr. Chanwit (the perpetrator) claimed to have thrown the deceased's Macbook and mobile phone into the canal. In Lat Phrao, 100 metres from the flea market, yesterday (Oct. 1), volunteers from the water operations team were able to find the deceased's Macbook and mobile phone. The water operatives were able to find axes and knives. Mr. Chanwit (the perpetrator) used to kill and shred the body of the deceased using more than 6 hours of searching. THIS IS AN IMPORTANT PIECE OF EVIDENCE. Investigating Officer, Samrong Nuea Police Department The said items shall be used to gather evidence for further support in this case.
To issue the "Police Sword Ching Thong", ordered the bouncing director of the Erawan Police Department not to take care of his subordinates.|Chief Of Staff Sign the order for the "Police Sword". Group Director P. P. Erawan retired from government service. After carrying a gun, he won 55 baht of gold. Deputy Superintendent P., Deputy Inspector General of Investigation, a total of 4 officers were bounced out of the hotel. The knot does not screw up, monitors subordinates. Ready to set On October 2, 2022, a Rayan reporter reported that a gangster used a gun to raid a gold shop in Bangkok's Yaowarat mall. Na'an District Muang Loei district received 9 pieces of gold weighing 3 baht, 6 pieces of gold weighing 2 baht, 2 pieces of gold weighing 5 baht and 12 pieces of 50 satang gold, including 55 baht of gold. On September 30, the attacker was aged between 40 and 50 wearing a black T-shirt with white stripes, black tracksuit pants, sneakers, a black hat and a black shoulder bag. The attacker, carrying an unknown firearm, then fired 1 shot into the ground, the bullet ricocheted and injured 2 female store employees. Without a license plate, I fled to the city. Lt. Col. Thanadol Najaidee, Deputy Senator (Investigation) Loei City Police have summoned a store employee who was involved in the incident for questioning. Meanwhile, Reporters were informed that from yesterday until this morning. The police investigating the Loei Police Department followed up until they found a suspect named "Somphop Police Sword" as a group director. Therefore, he was detained from the morning in Erawan until 13.00 and was later interrogated in a safe house in Muang Loei. Maj. Gen. Surachai Sangkhapat Loei Provincial Police Commander Knowing that the offender was a police officer, he issued Loei Provincial Police Order No. 317/2565 for police sword Somphop Leelaphanthisit to leave the service, as well as Loei Provincial Police Order No. 315/2565 for police officers to perform their duties at Loei Provincial Police Operation Center and Loei Provincial Police Order No. 316/2565 to appoint a committee to investigate SPONSORED Pol. Maj. Gen. Surachai. It stated that from such an incident, it was the case of the police commissioner who committed the crime. Not to behave in accordance with the principles that police officers must behave appropriately in their duties as law enforcement officers. Discipline must be maintained in accordance with police regulations. An important principle for the police profession and the close superiors of police officers must be to tighten, supervise, and monitor the conduct and behavior of police officers under their command. To comply with the law. Rules, regulations, orders, and customs of the government regularly. Close contact with police department order No. 1212/2537 dated October 1, 1994. Measures to control and strengthen the conduct and discipline of police officers and commands of supervisors. That has already been done for the police officers under the Erawan Police Station. There are 4 officers consisting of 1. Police Colonel Nattaya Thongchan, superintendent; Erawan Police Station 2. Deputy Superintendent of Police, Erawan Police Station, Loei Province 3. Police Lieutenant Jirasak Sittisarn, Deputy Inspector Of Investigation, Erawan Police Station, Loei Province 4. Lieutenant Colonel Prayoon Jong-acid Deputy Inspector Of Investigation, Erawan Police Station, Loei Province To perform duties at the Provincial Police Operations Center without leaving the same position and affiliation. To perform the duties assigned by the Director of the Loei Provincial Police Operations Center from October 2, 2022 onwards until the order to change the Thairath Online news team. Inquire to Maj. Gen. Surachai Sangkhapat The Police Chief informed that the reason why 4 police officers were ordered to perform their duties at S.P.C. Chua Loei was because they did not take care of their subordinates. The time of the incident is during official hours. Must be attended.
Police sword Ching Thong confessed to the stress of flooding debt. Having an affair with a wife I want the irony of life.|"Big Joke" Pol. Gen. Surachet Hakpal, Deputy Chief of Police, announced the arrest of "Somphop Police Sword". Erawan police officer robbed gold shop, confessed to having debt problems, and had an affair with his wife, wanting to recoup his life from the case on September 30. The attacker used a 9mm Sig Sauer P320 firearm to hijack a Bangkok Yaowarat gold shop inside Tesco Lotus Loei. The property consisted of 2 gold necklaces weighing 5 baht, 6 gold necklaces weighing 2 baht, 9 gold bracelets weighing 3 baht, 6 gold bracelets weighing 2 baht, totaling 52 baht of gold, with a damage value of more than 1.5 million baht. Before driving a black MG car, he fled. Pol. Gen. Damrongsak Kittipraphat, the police chief, has ordered Maj. Gen. Surachet Hakpal, deputy chief of police, to direct the area to expedite the investigation and arrest the perpetrators. Gangsters commit outrageous acts using firearms in crowded places during the day. TO REDUCE THE FEAR OF THE INCIDENT, SPONSORED ON OCTOBER 2, 2022, GEN. SURACHET ORDERED. Maj. Gen. Yanyong Vejosoth P.O.C.4, Maj. Gen. Natthanon, 4th Army Chief of Staff, and Maj. Gen. Surachai Sangkhapat The Police Chief of Loei hastened the investigation and arrested the culprit who committed the crime. From the collection of evidence together with CCTV footage. Chasing the escape route of the villain until he realized that the perpetrator was Police Sword Somphop Leelapantisit, 39 years old, affiliated with Erawan Police Station, Loei Province. The police officers then filed a petition with the Loei Provincial Court for an arrest warrant and were able to arrest the perpetrator with 23 gold items and 7 gold hooks (total weight about 52 baht). Sig Sauer P 320 9 mm firearm (CAT registration 61446662 1 gun with 1 ammunition holster and 15 rounds of ammunition, 1 black MG ZS personal car, 1 black long-sleeved shirt, 1 navy trousers, 1 pair of black sneakers, 1 black hat, 1 black shoulder bag and 1 mobile phone. It didn't take long for the police to investigate and arrest the perpetrator of the robbery. It has instructed all areas to take measures to prevent such outrage, including having superiors closely monitor subordinates. Provide advice in case of work or personal problems in order to have good morale in the performance of duties and to effectively maintain peace for the people.
Drunkenness Stepson extinguished from mother-in-law quarrel|Dragging his neck to the smoke, a drunken young man slumps into a horrible stepdaughter. From myself sitting, drinking at home, getting drunk, fussing loudly late at night, not afraid of others. The mother-in-law continued until there was a quarrel. Instead, the stepson became a party, having an argument, a fight, a fight, a fight. The stepfather couldn't fight, grabbed the knife in the room and stabbed him. The deceased ran away from the house, did not survive, was repeatedly chased to the death, where the drunken in-laws quarreled with their mother-in-law. The stepson came in. The barrage was stabbed. Revealed at 1.30 a.m. on Oct. 2, Lt. Col. Watt Yupipat S.W. (investigation) Bangkaeo Police Station Bangplee District, Samut Prakan Province, received a report of a person being stabbed to death on the sidewalk. End Soi Kingkaew 10 Moo 2 T.Rachadeva Bangplee with Lt. Col. Phitsanu Khamnu S.W.P. Police officers, paramedics from Bangplee Hospital and Ruam Grateful Foundation Rescue Team went to investigate the scene of the accident, which was a cement path by the canal, and found the body of Mr. Nithipat Sonsin, 16, at house number 45, near the accident site, lying on his back covered in blood, wearing sweatpants in navy blue. No shirt. There were four stab wounds to the forehead, neck, front and back of the left side of the frame, and the deceased's house was about 100 metres away. The knifeman who committed the crime was Mr. Surapong Yokprasaprat, 41, a resident of Phang Nga province, the stepfather of the deceased. After the attacker walked away, he was arrested by the police at the end of the alley with a 23 cm long pointed knife. DETAINED FOR INTERROGATION AT BANGKAEW POLICE STATIONSPONSORED TO INVESTIGATE MR. SURAPONG, THE PERPETRATOR IS STILL IN A DRUNKEN STATE, SPEAKS A LITTLE BIT, CONFESSES TO THE CRIME, USED A KNIFE TO STAB HIS STEPSON, CLAIMED THAT IT WAS SELF-DEFENSE. He couldn't fight back and went to his bedroom and grabbed a sharp knife and stabbed his stepson and ran to his death outside the house. I don't think my stepson will die. The 61-year-old grandmother of the deceased and the mother-in-law of the attacker said that Mr. Surapong, the son-in-law, was the new husband of his daughter. He said admonishingly, to lower his voice a little because it was already very late. The son-in-law was upset and there was an argument, and even the nephew, hearing a loud argument, walked downstairs to stop him. It turned out to be a fight with Mr. Surapong, which was so violent that he even punched each other. Mr. Surapong did not walk in and grabbed a knife in the room and stabbed the deceased until he had to run outside the house, but his son-in-law still ran and stabbed him repeatedly until he died on the sidewalk about 100 meters away from the house. Bangkaeo Police Station Owner of the case After investigating the crime scene. The body was sent for autopsy at Ramajakharin Hospital, Bangplee. The charges against Surapong for intentionally killing others, carrying knife weapons in towns, villages or public places without reasonable cause. Bring the prosecution forward.
Police wading through the checkpoints Phai Bueng Flea Market No one was found selling marijuana to students.|Police Officers The police are working with administrative and public health officials in Phrae Bueng District. Check out the flea market. He searched for a marijuana shop for students to surround the smoke-fighting pumong but couldn't find it, so he advised the shop to "start smoking" in a school in the area. A.Phai bueng The society has been widely criticized. In particular, the liberal marijuana policy has made it difficult for children. Do the nation's youth have easier access to drugs? By the way. Lt. Col. Jaturon Wongpan, Director of The Pribueng Police Department It insists that marijuana dealers to these children will be prosecuted. According to the press release, on October 2, 2022, the reporter reported that on September 30, 2022, Lt. Col. Jaturon Wongpan, director of the Pribueng Police Department, has instructed Lt. Col. Charnthong Kuikaew. Deputy Chief of Staff Lt. Col. Nattarat Kreethathorn Deputy Chief of Staff, Senator and Lt. Col. Suthat Param, S.W.P. Lead the police force. The police are working together with the ruling party. District Health Officer, Phai Bueng Inspect shops selling marijuana to students who smoke it, according to the news. IT APPEARS THAT THERE WAS NO SHOP THAT SOLD MARIJUANA TO THE CHILD. Deputy Chief of Staff Police said they were working with several parties involved to find a store that sells marijuana to students, according to the news release. But today, the shop did not come to open a shop, which should be swayed, so I did not come to sell things, but found that there was a cottage tree shop that came to open for sale. The officer then went in and gave advice. It is prohibited to sell to people under 18 years of age, while marijuana plants or leaves cannot be sold to people under 20 years of age. Organize the sale of cottage plants and cannabis correctly. So that such events will not happen to the youth of the nation in the future. Lt. Col. Jaturon Wongpan, Director of The Pribueng Police Department "Even today, we can't arrest a store that sells marijuana to students. However, the police will not give up their efforts and will continue to investigate until they find the person who sold marijuana to the student to punish them.
Police raided a pub without a license. 19 children found|"Police officers." Wade caught the entertainment venue "Melody", releasing 19 children to enter the service. No license The store manager was prosecuted at 02.00 on October 2, 2022. Chief Of Staff Maj. Gen. Marut Kanjanakhanthakul Deputy Chief of Staff Maj. Gen. Manoon Kaewkam, 3rd Lt. Col. Lt. Col. Chetsupakorn Piriyapongpan 3rd Army Corps of Engineers Bring forces to inspect the entertainment venue "Melody". Located in Tha Khon Yang District AFTER RECEIVING COMPLAINTS THAT LOUD MUSIC WAS PLAYING, CAUSING ANNOYANCE TO PEOPLE LIVING NEARBY, AND NEGLECTING TO ALLOW YOUTHS TO GATHER TOGETHER AND ILLEGALLY SET UP A SERVICE FACILITY WITHOUT A SPONSORED LICENSE, THE INVESTIGATION REVEALED THAT THERE WERE MORE THAN 200 PEOPLE INSIDE THE STORE, WITH A BAND PLAYING. Intoxicated travelers danced wildly, so they ordered the lights to be turned on and stopped. Upon investigation, 19 children under the age of 20 were arrested, one of whom was 15 years old. Mr. Wisit Na Nong Kham, 30 years old, store manager The charges include "setting up a service facility without a license, selling alcohol over time, selling alcoholic beverages by means or in a discounted manner for promotional purposes, selling alcoholic beverages to persons under twenty years of age, and inducing, encouraging or allowing children to behave inappropriately before being sent to the investigation officer, Kantaravichai Police Station, Mahasarakham Province, for further prosecution.
The goat in the case ran around a diamond ring of 15.8 million, pleading guilty to the charges. Some flagpoles do jail time for free.|A chicken vendor in Nakhon Phanom, a former accused, ran around a diamond ring of 15.8 million. The Police Commissioner has accused some of the police of the flagpole. After being jailed for 7 months and 10 days for not committing an offence at 9.30 a.m. on Oct. 3, 2022, at the Central Bureau of Investigation Police Call Center. Phaholyothin Road, Bangkok Mr. Pisit Suwanpim A 54-year-old som tum grilled chicken merchant went in and submitted a request for justice to Lt. Gen. Jiraporn Puridej. The Director general of the MINISTRY is the recipient. The case was filed by the police. Bang Sao Thong police charged him with robbery and was sentenced to 7 months and 10 days in jail for not committing the crime before the Court of First Instance and Appeal dismissed the case. The prosecutor and co-plaintiff did not convict Mr. Pisit that on December 28, 2016, daytime, at house no. 6661-62, Nisachon Village, Soi 6, Khlong Khwang Subdistrict. There were 3 diamond rings and 1 17.34 carat fancy diamond with a total value of 15.8 million baht. On the day of the incident, Ms. Boonyarat, a diamond seller, was contacted to buy diamonds from customers. When all the rings and diamonds were opened, the customer grabbed the diamond ring tray and ran away from the house and locked the door. Detain the informant inside until he has to climb the fence to report the case. Deputy Inspector General (Investigation) Bang Sao Thong Police Station, with Lt. Col. Thitiwut Rongkaew Senator (Head of The Series), Lieutenant Colonel Nipon Paoking, Deputy Senator, Dr. Pornthep Kanarak District Director and District Attorney Anurag Pengpan Investigators arrived to investigate the scene. IT TAKES ABOUT 1 HOUR SPONSORED AFTER WHICH THE POLICE. Bang Sao Thong Police Station Investigators arrested and gathered evidence. Request for court approval to issue an arrest warrant for the named accused. Mr. Pisit Suwanpim Nickname Red Later In February 2017, police arrested him at a rented house in Nakhon Phanom province. While selling grilled chicken with som tam, using an old arrest warrant. Sung Noen police officer charged with fraud, which he did not know he had a warrant for, before being detained for running around the property, according to the arrest warrant of the Thonburi Criminal Court. The prosecutor filed a lawsuit in the Thonburi Criminal Court with Galaxy Diamond Co., Ltd., co-plaintiff No. 1 and Ms. Boonyarat as co-plaintiff No. 2, being held at Thonburi Special Prison. During the trial for 7 months and 10 days until the Thonburi Criminal Court dismissed the case. On September 26, 2017, he was released to freedom, and the plaintiff filed an appeal on February 14, 2018, and the Court of Appeal upheld the lower court's decision. On August 14, 2018, the plaintiff and co-plaintiff did not apply for the suit. Miss BUNNARAT RADHASUKHANON Defendant No. 1, Galaxy Diamond Co., Ltd., Defendant No. 2, Mr. Dewang Kumar Chiwantilal Sangavi. Defendant No. 3, Mrs. Prayom Tansathaporn The 4th defendant was charged with the offence of bringing false statements against others and perjury in the trial before the Court under Sections 175, 177 of the Criminal Code before the Thonburi Criminal Court in case of Black Number. A.1150/2562 Until 20 January 2022, the Thonburi Criminal Court convicted Ms. Boonyarat, the 1st defendant, guilty according to Section 177, paragraph 2, provides for imprisonment for 3 years and the case shall be dismissed. Mrs. Prayom, the 4th defendant, dismissed the case against the 2nd defendant and the 3rd defendant in the trial despite receiving 200,000 baht in compensation from the Ministry of Justice. It was not possible to mitigate the damage to both his own reputation and his family's reputation, so today he came to demand justice. The police commissioner investigated the crime. Bang Sao Thong Police Station in the 2016 diamond ring robbery case that was homophobic to be punished under Section 157 of the Criminal Code, consisting of: Lt. Col. Thitiwut Rongkaew, Lt. Col. Sangad Lepol, Lt. Col. Niphon Phaeo king, Deputy Senator, Dr. Pornthep Kanarak The Group Director and The Associated Press and The Associated Press are the principals. Initially, the investigating officer received the matter and proposed it to the supervisor for further action.
No charges have been filed against the 15-year-old BMX driver. The family claimed to have taken the exam.|Police have not charged a 15-year-old boy with driving a BMW through a red light and crashing into an engineering graduate. The latter coordinated with the family, but claimed that he was still on the exam. The police are preparing to coordinate with multidisciplinary officers to interrogate and report three charges this week in connection with the accident on the night of September 30, 2022, at approximately 10:00 p.m. Pho Klang Police Station, Muang District, Nakhon Ratchasima Province, received a report of an accident at the intersection of Red Light, University of Technology Road, Gate 1, just before the entrance to the university. Suranari Subdistrict, Mueang Nakhon Ratchasima District, at the scene of the accident, found a white BMW sedan. The condition of the car is broken. About 30 meters away, a red Yamaha Filano motorcycle was found. The car was similarly demolished and the body of the deceased was found to be a male. His name is Thanapol Kaewmool or Te, 24, a resident of Tha Tako district, Nakhon Sawan province, lying in a heap of blood, several broken bones in his body. The driver of the sedan was a 15-year-old teenage boy who was driving with three teenage friends. The young man was shocked and stood by to show himself to the police at the scene, initially after checking cctv cameras at the intersection of the crime scene, it was found that the BMW sedan was driving through a red light at speed before hitting Mr. Thanapol's motorcycle, causing his death. On October 3, 2022, Lt. Col. Paisan Pannap Inspector (investigation) Pho Klang Police Station, Nakhon Ratchasima Investigators investigated the case. Revealing the progress of the case, investigators today coordinated with the family of the 15-year-old to arrange for an interrogation and report the allegations, but the family informed them that the driver was still being examined. However, within this week, investigators will appoint the driver and a multidisciplinary officer for questioning before filing three preliminary charges, including reckless driving causing the death of another person. Driving at a red light and not having a driver's license, including parents for negligence or negligence. However, the police will also be fair to both sides, while news reports say that after the incident, investigators took the 15-year-old boy to the hospital for an alcohol test.
Police arrest sales girls for selling packages to Thip hotel rooms, victims of millions of damages|Police arrested a 39-year-old former saleswoman for selling packages at Thip Hotel in Pattaya. There are a lot of believers. Millions worth of damage He also denied it on October 3, 2022. Chief Of Staff, Lt. Col. Tharakorn Lertporncharoen, Deputy Chief of Staff Lt. Col. Chetpan Kiticharoensak, 1st Lt. Col. Lt. Col. Kittipas Kongsungnen, S.W.Kg.1 Police arrested Miss TIPAWAN DIRECTKIT Age 39 years according to the arrest warrant of the South Bangkok District Court No. 163/2565 dated May 9, 2022 for fraud and fraud or by deceiving into the computer system with false information with the possibility of damage to others or the public and the arrest warrant of Phra Khanong Criminal Court No. 521/2565 dated September 30, 2022 for similar charges. Caught inside Soi Charansanitwong 84, Bang Ao Subdistrict, Bang Phlat District  Lt. Col. Chetthapan He said he had been coordinated by the Metropolitan Police and had received news from Thairath TV that several victims had filed a complaint against Ms. Tippawan, a former hotel salesman. After pretending to sell packages of Central Hotel and Grand Centre Point Space Pattaya at a low price because they are employees. Once the payment was made, they were unable to stay and could not contact the accused. There are many scammers. Orders range from thousands to hundreds of thousands. Total damage in millions of baht They gathered to report the crime scene until the court issued a warrant for their arrest. 1.The POLICE has investigated until the arrest can be made. Take it to Yannawa Police Station for further processing.
