title|content
Thammasat warned ministers to be wary of falling out of the chair of the House of Commons.|captain Thammasat Brahmaputra, Member of the House of Representatives (MP) Phayao District 1, the Thai Economic Party, said on Thursday (May 26) that it warned "Pak Keng" ministers to be wary of resigning. "This MP, who used to be deputy minister of agriculture and cooperatives, revealed that the Thai Economic Party now has 16 votes in the House of Representatives, but believes that there will be more coalition votes for the party. "In the morning, if you listen to Mr. Pichet give an interview, it's clear that I have a lot of voices elsewhere."
Governor Chatchachart attended the ceremony to receive Thao Wessuwan. Wat Koh Suwannaram|Chatchat-Pavena-Seetha attended the ceremony of raising the net Thao Vessuwan. Wat Koh Suwannaram receives yant cloth Thao Vesuvarnone, the first version of the temple(26 May 2022) Mr. Chatchat Sittipan, Governor of Bangkok, accompanied by Mrs. Pavena Hongsakul, Pavena Hongsakul Foundation for Children and Women, together with Ms. Sita Tiwari Chairman of the Board of Directors The Director and Development Director of the Thai Build Thai Party traveled to Wat Koh Suwannaram, Sai Mai District, Bangkok, to participate in the exuanderation ceremony. Thao Wessuwan, which King Maha Ratchamongkol Muni (Thongchai Thomthacho) Wat Traimit Wittayaram Worawihan Central primate Member of the Board of Trustees Ecclesiastical President for the Ceremony Thao Vessuwan 4 large statues with white pang, red pang, green pang, golden pang, enshrined in front of the temple. Wat Koh Suwannaram to be a place of restraint for the general public to pay homage to auspiciousness.
Demonstration Minister Reiterate that there are no infected monkeys in the country.|Mr. Sathit Patutecha Deputy Minister of Health He said that one of the measures of the Department of Communicable Disease Control is screening at the disease control checkpoint for people arriving from high-risk countries, the surveillance focuses on the initial observation of symptoms, handing out beware cards with instructions to travelers entering the country from high-risk countries, and advising them to observe their symptoms if they have symptoms, report back to Thai authorities through the hotline 1422, Department of Communicable Disease Control. This Deputy Minister of Health It is believed that there are currently no cases in the country.
The former MP is worried if Prayuth is out of his chair, believing there are many more people who are better as prime ministers.|Mr. Somchai Srisuttayakorn, Former Election Commissioner A Facebook post on Thursday (May 26) stated that if these things happen, including the Budget Expenditure Act of 2023, the law against elections and political parties failed, or the government lost the vote of distrust until Gen. Prayuth Chan-ocha left office, there is no need to worry because there are many more people who are better at becoming prime minister.
"Doctor Ravi" warns the government! The far-right opposition-thamnus moves fast, hoping to overturn it faster.|Today (May 27), Dr. Ravi Maschamadol, a list MP for the New Power Party, said the current political situation is the reason why the opposition is playing the game of overturning the government faster. This could come at the start of the debate on the FY 2023 budget bill, which is currently being followed by Thaksin Shinawatra's one-word strategy that will pave the way for future elections. The landslides phenomenon in the Bangkok governorship election suggests that the government is in full swing due to COVID, the economic downturn, and the Russo-Ukrainian war, which has caused energy price problems. Another thing is to travel abroad of Thammasat Phrompao, Secretary General of the Thai Economic Party I don't know if I've spoken to anyone or not. Gen. Vij Thephasdin Na Ayutthaya was dropped out of the Thai Economic Party, and Thammasat moved quickly by immediately contacting the smaller parties. By signing their names together, they questioned whether they would overturn the government during the distrust debate. Why play fast games now? Overturning the government in debate on the budget bill It's easier than overturning a distrust debate because the government isn't being vigilant. The vote to overturn the budget bill took only half of the MPs present at the meeting, but the debate was distrustful, no matter how many MPs attended. It takes more than 239 votes to overturn the government. These reasons remind the government to be vigilant at the same time. The opposition is no longer interested in the child law, because if the government can be overturned, it will be overturned. This makes it necessary to hold elections in the near future. It is certain that the government is almost unprepared for elections. The only party that should be ready is the Bhumjaithai Party. The Pracharat Party is even more unsure of what it will be. The opposition party is no longer afraid of the government because it will be immediately resumed in the electoral field by the current tide of the people. The move overturned the government in the opposition's debate on the budget bill. It's just a draw. If there is a mistake in the budget bill, it can be overturned in another distrust debate. This time, it's like having a big rehearsal before slaughter day. He is confident that people are far away. The opposition and Thammasat will definitely overturn the government in the budget game. As for whether it will be successful or not, it remains to be seen how many bananas will be transported by far-flung people. I can only remind the government. From now on, it must be the government's own job to solve the game.
For Thailand - Moving forward, the joint statement of the S.K. Optimize The Bangkok Council|The Pheu Thai Party and the Far-Right Party held a joint press conference on Friday (May 27) to join forces with the 34-member Bangkok Council of the two parties to enhance the efficiency and transparency of the Bangkok Council. To work together in the Council." Mr. Prasert Chantawongthong "It will raise the level of the Bangkok Council in a new dimension," Prasert said. Chaithawat Thulathon said the cooperation between the two parties will be in many areas, including Chaithawat, who said the far-right party would support a representative from the Pheu Thai Party to chair the Bangkok Assembly. As for the clarity of who will have to wait after the KMT certifies the election results before Mr. Vichaya Minchainan. "We have already said that we will present the five policies that we have used in the campaign to the Council for consideration. Mr. Viroj Lakkhanaadisorn, a former candidate for governor of Bangkok of the Far Forward Party, also said that the 12 policies of the far-right party have been well received by Mr. Chatchat Sittiphan, that the Governor of Bangkok "has been well received. Mr. Viroj addressed the local elections in Bangkok. On May 22, The Pheu Thai Party swept 20 seats in the Bangkok Council, while the Progressive Party won 14 districts, including 2 parties in 34 of the 50 districts.
"Vishnu" reiterates clearly if Bill 66 is struck down. The government has the option of simply dissolving parliament or resigning.|Today (May 27) The Deputy Prime Minister mentioned that if the Budget Bill for fiscal year 2023 does not pass the House of Representatives in the 1st term, it must return to the original Act. Yes or no, if the budget bill doesn't pass. The government will have to dissolve parliament or resign, and by Oct. 1, the 2022 budget will be spent before the Budget Office determines the proportions. It can be managed until a new budget is available. The old government will only be the acting government, but new projects will not be possible because they are not on the 2022 budget list, when asked if it is a constitutional requirement for the government to dissolve parliament. Mr. Vishnu stated that it is only a tradition. If the Prime Minister resigns, it is considered to resign the whole committee, only to continue acting, which the consideration of the Bill on the Election of MPs and the Bill on Political Parties must be stalled, because when there is no House, there will be no consideration, and the Senate cannot meet when asked which way it is better to dissolve the House or resign. Mr. Vishnu said, "It depends on how each time you take it. When it doesn't pass, it has to be re-proposed anyway. But if it is a resignation, then a new government comes in. and when the composition of the council does not change. The proposed new government may not pass again, but the parliament is dissolved rather than asked by reporters how to resolve it. Mr. Vishnu asked the media not to think in a way that would not cause such an incident because the government did not think so. When asked if Bill 66 would not pass, would there be an answer from the government on whether to dissolve parliament or resign? Mr. Vishnu stated that no one said whether to dissolve the Parliament or resign, but he announced what happened, which has no time frame and no fixed provisions in one of the sections. Mr. Vishnu said he did not ask for an answer on which one to use because there would be people who could disagree. Or choose to go all according to the new constitution. There will be disagreements and the Constitutional Court must decide. If the Constitutional Court is of the opinion that the method cannot be used, it is unworkable, and that it does not apply to all, the reporter added, "Does it mean that every problem, if it arises, has a solution?" Mr. Vishnu said he had answered all of them. The reporter will go to any conclusion because there is a solution, but the solution may be rejected by the beneficiaries and petitioned the Constitutional Court, which has already raised the issue, and the court has ruled it void several times. Mr. Vishnu added that in the past, the budget bill failed to pass the House, only in foreign countries. When asked if the budget bill failed to pass the House, the public strongly blamed the government for using the budget as a political game. Mr. Vishnu stated that he did not know, before asking the media why he was questioning him that Bill 66 would not be approved. Mr. Vishnu replied that he did not know either. The media asked him a lot, but he was unable to vote on the bill because he was a minister. In addition, Mr. Vishnu also mentioned the case of extension of the Green Line concession, saying that the matter is currently pending with the Secretary-General. And when there is a new governor of Bangkok. The Minister will have to ask the new Governor to bring the guidelines back to the Cabinet meeting again because the matter is from Bangkok. The Minister is the Ministry of Interior. For example, the issuance of payments is also a matter of Bangkok. The Ministry of Interior must lead the matter at the meeting. This must come out in the form of a resolution. This is in accordance with the NCPO's order. It is not cancelled, it is based on the original order. There is no time frame for implementation, even if this government has an accident. This is not yet settled. However, it will cause trouble to the private sector, and the new government must comply with the old NCPO's order, which is considered to be in accordance with the law, effective forever until the order is cancelled. Because the Constitution is written. Mr. Vishnu acknowledged that the opinions of the Council of Ministers and the Bangkok Metropolitan Administration can be seen differently, with the Bangkok Authority having the power to resolve any action by notifying the Ministry of Interior and sending it to the meeting. The Cabinet reconsidered and reiterated that the Cabinet would not approve bangkok because when the time comes, there may be a need to pay money. Use the national budget, but the conclusion must end at the Cabinet, but must give the new Governor of Bangkok. When asked if there is now a new governor, will he have to start a new process? Mr. Vishnu stated that do not just say that, you have to see how bangkok will take it, so he will be able to answer how to take it by asking for time for bangkok to think a little because he may not have done his homework on this matter before. Stating that the Joint Venture Act must be imported, Mr. Vishnu considered that it was up to him, which, if followed, had been negotiated earlier in accordance with the NCPO's order. This is in line with the opinion of the Bhumjaithai Party.
"Big Toe" Read a blank piece of paper on the plane, voicing to find out about the prime minister on all matters.|"Big Tou" reads a blank piece of paper on the plane, which is a book by the airline, voicing that the prime minister has everything, reporters reported. The Prime Minister and the Minister of Defense together with the delegation attended a lunch with the "Thai Team" in Tokyo during an official visit to Japan on May 26-27, 2022. The Prime Minister thanked everyone who worked and made the attendance of the Nikkei Forum a succession, both based on information and practices that have been carried out continuously. Today, they have fully served as a government and are likely to come out on a satisfactory basis. After meeting the Prime Minister of Japan and various business confederations, he was satisfied and interested in the new policy of Thailand, especially Better Thailand, which must continue to do better. Although it is difficult, it must be done. It is necessary to rethink the dignity of Thailand and the dignity of ASEAN that will bring ASEAN together because ASEAN will connect to Asia because Asia often plays a small role on the world stage, despite the large population and resources. Therefore, everything must be done in order. "As for any work, there will always be groups that disagree and parties that have agreements, but how to benefit from every agreement, because Thailand is almost all members, so don't let anyone misrepresent it. The Prime Minister also mentioned the news of criticism of the Prime Minister who read a blank piece of paper on a plane during his trip to Japan. The book I read was the airline's book, and I picked it up and looked at it. As for the meeting file, it was placed close to each other, not understanding why the Prime Minister could find out everything. I don't know what it is. Thailand
Dusit poll suggests "Chatchat" won the bangkok governorship election because he wants to change|"Dusit Poll" 69.52% of the city's people viewed "Chatchachart" as winning the landslides because they wanted to change, while 71.96% asked to do as they campaigned. Keep promises "Dusit Pole Park"  A survey of 1,191 people conducted between May 24 and 27 found that 69.52 percent of Bangkokians believed that Mr. Chatchat Sittiphan won this election with a large number of votes because he wanted change, 43.83 percent of good policies would be practical, and 42.32 percent of his personality was earthy. 69.10% of Bangkokians are confident that the new Governor of Bangkok will change the Bangkok capital for the better, 28.80% are unsure and 2.10% are not, while 46.52% said the results of the bangkok governorship election and the MP are quite effective in changing Thai politics in the big picture. Keep your promises. 71.96% and solved problems such as traffic, flooding. In addition, 50.46% of Bangkokians were quite satisfied with the overall outcome of the election, 43.38% were very satisfied.
Let's take a 10-day break! Dr. Thaweesilp Covid-19 infection revealed ATK test up 2 marks, slightly sore throat|Dr. Thaweesilp Covid-19 infection, ATK test up 2 marks, slight sore throat, and apologize to close colleagues. (May 28) Vishnuyothin Spokesperson for the Covid-19 Pandemic Management Center Facebook post More Report that you have COVID-19 After yesterday, ATK went up 2 strokes, with a slight sore throat. He also apologized to colleagues who had worked closely with each other over the past week and also recommended a frequent ATK test, stating, "Please take a 10-day break: ATK up 2 strokes yesterday, slight sore throat, other normal. Close colleagues have been working together over the past week and are cautious about checking ATK frequently." The post has attracted a lot of netizens to comment and wish dr. Thaweesin a speedy recovery.
